partner,course,skills,rating,reviewcount,level,certificatetype,duration,crediteligibility,skills_cleaned,cluster
DeepLearning.AI,Generative AI for Everyone,"{"" Strategy"","" Writing""}",4.9,188,Beginner , Course , 1 - 4 Weeks,False,"{"" strategy"","" writing""}",Web Development
IBM,IBM DevOps and Software Engineering,"{"" DevOps"","" Software Engineering"","" Cloud Computing"","" Computer Programming"","" Application Development"","" Python Programming"","" Software Architecture"","" Cloud Applications"","" Continuous Delivery"","" Continuous Integration"","" Software Engineering Tools"","" Agile Software Development"","" Programming Principles"","" Security Engineering"","" Software Testing"","" Cloud Infrastructure"","" Kubernetes"","" Cloud-Based Integration"","" Microarchitecture"","" Cloud Platforms"","" Communication"","" IBM Cloud"","" Scrum (Software Development)"","" Software Security"","" Cloud Storage"","" Docker (Software)"","" Linux"","" Product Management"","" Software-Defined Networking"","" Collaboration"","" Leadership and Management"","" Data Analysis"","" Mergers & Acquisitions""}",4.6,43.2k,Beginner , Professional Certificate , 3 - 6 Months,False,"{"" devops"","" software engineering"","" cloud computing"","" computer programming"","" application development"","" python programming"","" software architecture"","" cloud applications"","" continuous delivery"","" continuous integration"","" software engineering tools"","" agile software development"","" programming principles"","" security engineering"","" software testing"","" cloud infrastructure"","" kubernetes"","" cloud-based integration"","" microarchitecture"","" cloud platforms"","" communication"","" ibm cloud"","" scrum (software development)"","" software security"","" cloud storage"","" docker (software)"","" linux"","" product management"","" software-defined networking"","" collaboration"","" leadership and management"","" data analysis"","" mergers & acquisitions""}",Cyber Security
IBM,IBM Full Stack Software Developer,"{"" Cloud Computing"","" Python Programming"","" Cloud Applications"","" Computer Programming"","" IBM Cloud"","" Application Development"","" Cloud Infrastructure"","" DevOps"","" Web Development"","" Cloud Management"","" Cloud Platforms"","" Javascript"","" Software Architecture"","" Cloud API"","" Cloud Storage"","" Cloud-Based Integration"","" Full-Stack Web Development"","" Software Engineering"","" Continuous Delivery"","" Continuous Integration"","" Docker (Software)"","" Software As A Service"","" Web Development Tools"","" Microarchitecture"","" Django (Web Framework)"","" Database Application"","" Databases"","" Kubernetes"","" SQL"","" Software Engineering Tools"","" Data Management"","" NoSQL"","" Collaboration"","" Computer Science"","" Data Analysis"","" Leadership and Management"","" Mergers & Acquisitions"","" React (web framework)""}",4.6,41.2k,Beginner , Professional Certificate , 3 - 6 Months,True,"{"" cloud computing"","" python programming"","" cloud applications"","" computer programming"","" ibm cloud"","" application development"","" cloud infrastructure"","" devops"","" web development"","" cloud management"","" cloud platforms"","" javascript"","" software architecture"","" cloud api"","" cloud storage"","" cloud-based integration"","" full-stack web development"","" software engineering"","" continuous delivery"","" continuous integration"","" docker (software)"","" software as a service"","" web development tools"","" microarchitecture"","" django (web framework)"","" database application"","" databases"","" kubernetes"","" sql"","" software engineering tools"","" data management"","" nosql"","" collaboration"","" computer science"","" data analysis"","" leadership and management"","" mergers & acquisitions"","" react (web framework)""}",Cyber Security
IBM,Key Technologies for Business,"{"" Algorithms"","" Applied Machine Learning"","" Artificial Neural Networks"","" Computer Vision"","" Deep Learning"","" Human Learning"","" Machine Learning"","" Machine Learning Algorithms"","" Machine Learning Software"","" Cloud Computing"","" Data Science"","" Data Analysis"","" Big Data"","" Data Mining"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Storage"","" DevOps"","" IBM Cloud"","" Regression"","" Writing""}",4.7,81.5k,Beginner , Specialization , 1 - 3 Months,False,"{"" algorithms"","" applied machine learning"","" artificial neural networks"","" computer vision"","" deep learning"","" human learning"","" machine learning"","" machine learning algorithms"","" machine learning software"","" cloud computing"","" data science"","" data analysis"","" big data"","" data mining"","" cloud applications"","" cloud infrastructure"","" cloud platforms"","" cloud storage"","" devops"","" ibm cloud"","" regression"","" writing""}",Cyber Security
IBM,Data Science Fundamentals with Python and SQL,"{"" Python Programming"","" Data Analysis"","" General Statistics"","" Probability & Statistics"","" Basic Descriptive Statistics"","" Statistical Analysis"","" Statistical Tests"","" Mathematical Theory & Analysis"","" Statistical Programming"","" Computer Programming"","" Data Science"","" Plot (Graphics)"","" R Programming"","" Computational Thinking"","" Data Management"","" Database Application"","" Database Design"","" Database Theory"","" Databases"","" SQL"","" Cloud Computing"","" IBM Cloud""}",4.6,59.2k,Beginner , Specialization , 3 - 6 Months,True,"{"" python programming"","" data analysis"","" general statistics"","" probability & statistics"","" basic descriptive statistics"","" statistical analysis"","" statistical tests"","" mathematical theory & analysis"","" statistical programming"","" computer programming"","" data science"","" plot (graphics)"","" r programming"","" computational thinking"","" data management"","" database application"","" database design"","" database theory"","" databases"","" sql"","" cloud computing"","" ibm cloud""}",Machine Learning
University of Virginia Darden School Foundation,IBM & Darden Digital Strategy,"{"" Business Analysis"","" Business Transformation"","" Strategy"","" Cloud Computing"","" Data Analysis"","" Strategy and Operations"","" Applied Machine Learning"","" Entrepreneurship"","" Leadership and Management"","" Algorithms"","" Artificial Neural Networks"","" Computer Vision"","" Deep Learning"","" Human Learning"","" Innovation"","" Machine Learning"","" Machine Learning Algorithms"","" Machine Learning Software"","" Marketing"","" Sales"","" Data Visualization"","" Research and Design"","" Business Design"","" Business Development"","" Customer Analysis"","" Product Strategy"","" Market Analysis"","" Data Management"","" Data Mining"","" Databases"","" Python Programming"","" SQL"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Storage"","" Data Science"","" DevOps"","" IBM Cloud"","" NoSQL"","" R Programming"","" Microsoft Excel""}",4.7,29.7k,Beginner , Specialization , 3 - 6 Months,False,"{"" business analysis"","" business transformation"","" strategy"","" cloud computing"","" data analysis"","" strategy and operations"","" applied machine learning"","" entrepreneurship"","" leadership and management"","" algorithms"","" artificial neural networks"","" computer vision"","" deep learning"","" human learning"","" innovation"","" machine learning"","" machine learning algorithms"","" machine learning software"","" marketing"","" sales"","" data visualization"","" research and design"","" business design"","" business development"","" customer analysis"","" product strategy"","" market analysis"","" data management"","" data mining"","" databases"","" python programming"","" sql"","" cloud applications"","" cloud infrastructure"","" cloud platforms"","" cloud storage"","" data science"","" devops"","" ibm cloud"","" nosql"","" r programming"","" microsoft excel""}",Machine Learning
IBM,IBM Data Engineering,"{"" Data Management"","" Databases"","" Database Administration"","" Extract"","" Transform"","" Load"","" Big Data"","" SQL"","" Python Programming"","" Apache"","" Database Design"","" Distributed Computing Architecture"","" Data Architecture"","" Database Application"","" NoSQL"","" Data Structures"","" Data Model"","" Data Warehousing"","" Cloud Computing"","" Database Theory"","" Data Engineering"","" Data Visualization"","" Computer Programming"","" Cloud Storage"","" IBM Cloud"","" Data Mining"","" Machine Learning"","" Cloud Applications"","" Data Analysis"","" Leadership and Management"","" Kubernetes"","" Software Architecture"","" PostgreSQL"","" Computational Thinking"","" Business Intelligence"","" Data Visualization Software"","" Linux"","" Network Security"","" Statistical Programming"","" Data Science""}",4.6,46.2k,Beginner , Professional Certificate , 3 - 6 Months,True,"{"" data management"","" databases"","" database administration"","" extract"","" transform"","" load"","" big data"","" sql"","" python programming"","" apache"","" database design"","" distributed computing architecture"","" data architecture"","" database application"","" nosql"","" data structures"","" data model"","" data warehousing"","" cloud computing"","" database theory"","" data engineering"","" data visualization"","" computer programming"","" cloud storage"","" ibm cloud"","" data mining"","" machine learning"","" cloud applications"","" data analysis"","" leadership and management"","" kubernetes"","" software architecture"","" postgresql"","" computational thinking"","" business intelligence"","" data visualization software"","" linux"","" network security"","" statistical programming"","" data science""}",Cyber Security
IBM,IBM Data Analytics with Excel and R,"{"" Data Analysis"","" R Programming"","" Computer Programming"","" Data Visualization"","" Data Management"","" Statistical Programming"","" Databases"","" Plot (Graphics)"","" Exploratory Data Analysis"","" Statistical Visualization"","" Data Analysis Software"","" Data Structures"","" Statistical Analysis"","" Microsoft Excel"","" SQL"","" Basic Descriptive Statistics"","" General Statistics"","" Interactive Data Visualization"","" Database Application"","" Extract"","" Transform"","" Load"","" Spreadsheet Software"","" Visualization (Computer Graphics)"","" Programming Principles"","" Regression"","" Database Administration"","" Database Design"","" Database Theory"","" Computer Programming Tools"","" Correlation And Dependence"","" Data Mining"","" Data Visualization Software"","" Statistical Machine Learning"","" Visual Design"","" Business Analysis"","" Python Programming"","" Data Science"","" NoSQL""}",4.7,19.9k,Beginner , Professional Certificate , 3 - 6 Months,True,"{"" data analysis"","" r programming"","" computer programming"","" data visualization"","" data management"","" statistical programming"","" databases"","" plot (graphics)"","" exploratory data analysis"","" statistical visualization"","" data analysis software"","" data structures"","" statistical analysis"","" microsoft excel"","" sql"","" basic descriptive statistics"","" general statistics"","" interactive data visualization"","" database application"","" extract"","" transform"","" load"","" spreadsheet software"","" visualization (computer graphics)"","" programming principles"","" regression"","" database administration"","" database design"","" database theory"","" computer programming tools"","" correlation and dependence"","" data mining"","" data visualization software"","" statistical machine learning"","" visual design"","" business analysis"","" python programming"","" data science"","" nosql""}",Machine Learning
IBM,Data Analysis and Visualization Foundations,"{"" Microsoft Excel"","" Spreadsheet Software"","" Data Visualization"","" Data Analysis"","" Plot (Graphics)"","" Databases"","" Python Programming"","" SQL"","" Statistical Visualization"","" Business Analysis"","" Data Management"","" Data Mining"","" Data Science"","" Interactive Data Visualization"","" NoSQL"","" R Programming"","" Data Visualization Software""}",4.7,19.3k,Beginner , Specialization , 3 - 6 Months,True,"{"" microsoft excel"","" spreadsheet software"","" data visualization"","" data analysis"","" plot (graphics)"","" databases"","" python programming"","" sql"","" statistical visualization"","" business analysis"","" data management"","" data mining"","" data science"","" interactive data visualization"","" nosql"","" r programming"","" data visualization software""}",Cyber Security
DeepLearning.AI,Deep Learning,"{"" Machine Learning"","" Deep Learning"","" Artificial Neural Networks"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Python Programming"","" Machine Learning Software"","" Network Model"","" Algorithms"","" Computer Programming"","" Computer Vision"","" Network Architecture"","" Natural Language Processing"","" Tensorflow"","" Human Learning"","" Data Analysis"","" Exploratory Data Analysis"","" Organizational Development"","" Strategy"","" Mathematics"","" Mathematical Theory & Analysis"","" Linear Algebra"","" Regression"","" Calculus""}",4.8,141.5k,Intermediate , Specialization , 3 - 6 Months,True,"{"" machine learning"","" deep learning"","" artificial neural networks"","" machine learning algorithms"","" applied machine learning"","" python programming"","" machine learning software"","" network model"","" algorithms"","" computer programming"","" computer vision"","" network architecture"","" natural language processing"","" tensorflow"","" human learning"","" data analysis"","" exploratory data analysis"","" organizational development"","" strategy"","" mathematics"","" mathematical theory & analysis"","" linear algebra"","" regression"","" calculus""}",Machine Learning
IBM,IBM AI Foundations for Business,"{"" Machine Learning"","" Data Analysis"","" Applied Machine Learning"","" Data Management"","" Leadership and Management"","" Machine Learning Algorithms"","" Algorithms"","" Artificial Neural Networks"","" Business Process Management"","" Computer Vision"","" Data Architecture"","" Deep Learning"","" Human Learning"","" Machine Learning Software"","" Data Science"","" Strategy and Operations"","" Business Transformation"","" Cloud Computing"","" Strategy"","" Big Data"","" Data Mining"","" Innovation"","" Regression"","" Writing""}",4.7,77.2k,Beginner , Specialization , 1 - 3 Months,False,"{"" machine learning"","" data analysis"","" applied machine learning"","" data management"","" leadership and management"","" machine learning algorithms"","" algorithms"","" artificial neural networks"","" business process management"","" computer vision"","" data architecture"","" deep learning"","" human learning"","" machine learning software"","" data science"","" strategy and operations"","" business transformation"","" cloud computing"","" strategy"","" big data"","" data mining"","" innovation"","" regression"","" writing""}",Cyber Security
IBM,Data Engineering Foundations,"{"" Data Management"","" Python Programming"","" Databases"","" Data Structures"","" Data Engineering"","" Database Application"","" SQL"","" Database Administration"","" Database Design"","" Extract"","" Transform"","" Load"","" Computer Programming"","" Data Architecture"","" Database Theory"","" Data Mining"","" Data Model"","" Data Analysis"","" Leadership and Management"","" Computational Thinking"","" Data Warehousing"","" PostgreSQL"","" Big Data"","" IBM Cloud"","" Network Security"","" NoSQL"","" Cloud Computing"","" Data Science""}",4.6,45.1k,Beginner , Specialization , 3 - 6 Months,False,"{"" data management"","" python programming"","" databases"","" data structures"","" data engineering"","" database application"","" sql"","" database administration"","" database design"","" extract"","" transform"","" load"","" computer programming"","" data architecture"","" database theory"","" data mining"","" data model"","" data analysis"","" leadership and management"","" computational thinking"","" data warehousing"","" postgresql"","" big data"","" ibm cloud"","" network security"","" nosql"","" cloud computing"","" data science""}",Machine Learning
IBM,IBM Back-End Development,"{"" Application Development"","" Software Engineering"","" Python Programming"","" Computer Programming"","" Software Architecture"","" DevOps"","" Software Engineering Tools"","" Cloud Applications"","" Cloud Computing"","" Security Engineering"","" Programming Principles"","" Web Development"","" Cloud Infrastructure"","" Cloud-Based Integration"","" Microarchitecture"","" Agile Software Development"","" Communication"","" IBM Cloud"","" Kubernetes"","" Software Security"","" Data Management"","" Database Application"","" Databases"","" Docker (Software)"","" Linux"","" Product Management"","" SQL"","" Software-Defined Networking"","" Collaboration"","" Django (Web Framework)"","" Leadership and Management"","" Data Analysis"","" Mergers & Acquisitions""}",4.6,36.7k,Beginner , Professional Certificate , 3 - 6 Months,False,"{"" application development"","" software engineering"","" python programming"","" computer programming"","" software architecture"","" devops"","" software engineering tools"","" cloud applications"","" cloud computing"","" security engineering"","" programming principles"","" web development"","" cloud infrastructure"","" cloud-based integration"","" microarchitecture"","" agile software development"","" communication"","" ibm cloud"","" kubernetes"","" software security"","" data management"","" database application"","" databases"","" docker (software)"","" linux"","" product management"","" sql"","" software-defined networking"","" collaboration"","" django (web framework)"","" leadership and management"","" data analysis"","" mergers & acquisitions""}",Cyber Security
IBM,Applied Data Science,"{"" Python Programming"","" Data Visualization"","" Statistical Programming"","" Data Analysis"","" Machine Learning"","" Statistical Visualization"","" Plot (Graphics)"","" Algorithms"","" Computer Programming"","" Data Science"","" Exploratory Data Analysis"","" General Statistics"","" Machine Learning Algorithms"","" Probability & Statistics"","" Regression""}",4.6,48.5k,Beginner , Specialization , 3 - 6 Months,True,"{"" python programming"","" data visualization"","" statistical programming"","" data analysis"","" machine learning"","" statistical visualization"","" plot (graphics)"","" algorithms"","" computer programming"","" data science"","" exploratory data analysis"","" general statistics"","" machine learning algorithms"","" probability & statistics"","" regression""}",Machine Learning
IBM,IBM Applied AI,"{"" Machine Learning"","" Deep Learning"","" Machine Learning Algorithms"","" Artificial Neural Networks"","" Python Programming"","" Cloud Computing"","" Computer Vision"","" Human Learning"","" IBM Cloud"","" Applied Machine Learning"","" Algorithms"","" Cloud API"","" Machine Learning Software"","" Natural Language Processing"","" Human Computer Interaction"","" Computer Programming"","" Cloud Applications"","" Computer Programming Tools"","" Application Development"","" Visualization (Computer Graphics)"","" Data Analysis"","" Software As A Service"","" User Experience Design"","" Data Science""}",4.6,46.2k,Beginner , Professional Certificate , 3 - 6 Months,False,"{"" machine learning"","" deep learning"","" machine learning algorithms"","" artificial neural networks"","" python programming"","" cloud computing"","" computer vision"","" human learning"","" ibm cloud"","" applied machine learning"","" algorithms"","" cloud api"","" machine learning software"","" natural language processing"","" human computer interaction"","" computer programming"","" cloud applications"","" computer programming tools"","" application development"","" visualization (computer graphics)"","" data analysis"","" software as a service"","" user experience design"","" data science""}",Cyber Security
Macquarie University,Excel Skills for Business,"{"" Spreadsheet Software"","" Business Analysis"","" Microsoft Excel"","" Data Analysis"","" Plot (Graphics)"","" Data Visualization"","" Data Model"","" Databases"","" Finance"","" Leadership and Management""}",4.9,59k,Beginner , Specialization , 3 - 6 Months,False,"{"" spreadsheet software"","" business analysis"","" microsoft excel"","" data analysis"","" plot (graphics)"","" data visualization"","" data model"","" databases"","" finance"","" leadership and management""}",Cyber Security
IBM,Applied Software Engineering Fundamentals,"{"" Python Programming"","" Computer Programming"","" Software Engineering"","" Application Development"","" Programming Principles"","" Software Architecture"","" Software Engineering Tools"","" Agile Software Development"","" Communication"","" Product Management"","" Software-Defined Networking"","" Collaboration"","" Leadership and Management"","" Linux"","" Data Analysis"","" Mergers & Acquisitions""}",4.6,36k,Beginner , Specialization , 3 - 6 Months,False,"{"" python programming"","" computer programming"","" software engineering"","" application development"","" programming principles"","" software architecture"","" software engineering tools"","" agile software development"","" communication"","" product management"","" software-defined networking"","" collaboration"","" leadership and management"","" linux"","" data analysis"","" mergers & acquisitions""}",Machine Learning
DeepLearning.AI,Generative AI with Large Language Models,"{"" Machine Learning"","" Natural Language Processing"","" Python Programming""}",4.8,1.3k,Intermediate , Course , 1 - 4 Weeks,False,"{"" machine learning"","" natural language processing"","" python programming""}",Machine Learning
Google,Google Advanced Data Analytics,"{"" Communication"","" Computer Programming"","" Data Analysis"","" Exploratory Data Analysis"","" General Statistics"","" Machine Learning"","" Planning"","" Probability Distribution"","" Project Management"","" Python Programming"","" Regression"","" Statistical Analysis"","" Tableau Software""}",4.7,2.2k,Advanced , Professional Certificate , 3 - 6 Months,False,"{"" communication"","" computer programming"","" data analysis"","" exploratory data analysis"","" general statistics"","" machine learning"","" planning"","" probability distribution"","" project management"","" python programming"","" regression"","" statistical analysis"","" tableau software""}",Machine Learning
IBM,"DevOps, Cloud, and Agile Foundations","{"" DevOps"","" Cloud Computing"","" Software Engineering"","" Agile Software Development"","" Continuous Delivery"","" Continuous Integration"","" Scrum (Software Development)"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Storage"","" IBM Cloud"","" Leadership and Management""}",4.7,7.7k,Beginner , Specialization , 3 - 6 Months,False,"{"" devops"","" cloud computing"","" software engineering"","" agile software development"","" continuous delivery"","" continuous integration"","" scrum (software development)"","" cloud applications"","" cloud infrastructure"","" cloud platforms"","" cloud storage"","" ibm cloud"","" leadership and management""}",Cyber Security
Meta,Meta Front-End Developer,"{"" HTML and CSS"","" Javascript"","" Front-End Web Development"","" React (web framework)"","" Web Development"","" User Experience"","" Algorithms"","" Computer Science"","" Web Design"","" Application Development"","" Computer Programming"","" Software Engineering"","" Web Development Tools"","" Collaboration"","" Communication"","" Data Structures"","" Human Computer Interaction"","" Interactive Design"","" Linux"","" Problem Solving"","" Product Design"","" Software Engineering Tools"","" Software Testing""}",4.7,14.7k,Beginner , Professional Certificate , 3 - 6 Months,False,"{"" html and css"","" javascript"","" front-end web development"","" react (web framework)"","" web development"","" user experience"","" algorithms"","" computer science"","" web design"","" application development"","" computer programming"","" software engineering"","" web development tools"","" collaboration"","" communication"","" data structures"","" human computer interaction"","" interactive design"","" linux"","" problem solving"","" product design"","" software engineering tools"","" software testing""}",Cyber Security
IBM,Cloud Application Development Foundations,"{"" Cloud Computing"","" Cloud Applications"","" IBM Cloud"","" Javascript"","" Cloud Infrastructure"","" Cloud Platforms"","" DevOps"","" Cloud Management"","" Computer Programming"","" Web Development"","" Cloud API"","" Continuous Integration"","" Cloud Storage"","" Software As A Service"","" Continuous Delivery"","" Web Development Tools"","" NoSQL"","" Computer Science"","" React (web framework)""}",4.6,6.1k,Beginner , Specialization , 3 - 6 Months,False,"{"" cloud computing"","" cloud applications"","" ibm cloud"","" javascript"","" cloud infrastructure"","" cloud platforms"","" devops"","" cloud management"","" computer programming"","" web development"","" cloud api"","" continuous integration"","" cloud storage"","" software as a service"","" continuous delivery"","" web development tools"","" nosql"","" computer science"","" react (web framework)""}",Cyber Security
Google,Foundations of Project Management,"{"" Project Management"","" Strategy and Operations"","" Business Communication"","" Change Management"","" Organizational Development"","" Communication"","" Culture"","" Emotional Intelligence"","" Influencing"","" Leadership and Management"","" People Management"","" Planning""}",4.9,73.7k,Beginner , Course , 1 - 4 Weeks,False,"{"" project management"","" strategy and operations"","" business communication"","" change management"","" organizational development"","" communication"","" culture"","" emotional intelligence"","" influencing"","" leadership and management"","" people management"","" planning""}",App Development
Google,Foundations of Cybersecurity,"{"" Linux"","" Computer Programming"","" Leadership and Management"","" SQL""}",4.9,11.8k,Beginner , Course , 1 - 4 Weeks,False,"{"" linux"","" computer programming"","" leadership and management"","" sql""}",Cyber Security
